File,Path,Size_Bytes,Task_Type,Scale,Has_Scales_Field,nc,ch,Backbone_Layers,Head_Layers,Output_Head,Detect_Layers,Has_P2,Has_P3_P4_P5,Has_P6,Key_Modules,Custom_Modules,Parse_Status,Notes
yolo26-2D.yaml,ultralytics\cfg\models\26\yolo26-2D.yaml,2029,detect,n/s/m/l/x,yes,80,?,11,10,Detect,2,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",none,OK,
yolo26-4D.yaml,ultralytics\cfg\models\26\yolo26-4D.yaml,2467,detect,n/s/m/l/x,yes,80,?,11,19,Detect,4,yes,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",none,OK,
yolo26-AConv.yaml,ultralytics\cfg\models\26\yolo26-AConv.yaml,2167,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"AConv, C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",AConv,OK,
yolo26-ADown.yaml,ultralytics\cfg\models\26\yolo26-ADown.yaml,2167,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"ADown, C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",ADown,OK,
yolo26-AKConv.yaml,ultralytics\cfg\models\26\yolo26-AKConv.yaml,2174,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"AKConv, C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",AKConv,OK,
yolo26-BiForm.yaml,ultralytics\cfg\models\26\yolo26-BiForm.yaml,2225,detect,n/s/m/l/x,yes,80,?,12,13,Detect,3,no,yes,no,"BiLevelRoutingAttention, C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",BiLevelRoutingAttention,OK,
yolo26-BiFPN.yaml,ultralytics\cfg\models\26\yolo26-BiFPN.yaml,2196,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat_bifpn, Conv, Detect, SPPF, nn.Upsample",Concat_bifpn,OK,
yolo26-BiFPN1.yaml,ultralytics\cfg\models\26\yolo26-BiFPN1.yaml,2279,detect,n/s/m/l/x,yes,80,?,11,15,Detect,3,no,yes,no,"C2PSA, C3k2, Concat_bifpn, Conv, Detect, EMA_attention, GhostConv, SPPF, nn.Upsample","Concat_bifpn, EMA_attention, GhostConv",OK,
yolo26-BoTNet.yaml,ultralytics\cfg\models\26\yolo26-BoTNet.yaml,2199,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"BoTNet, C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",BoTNet,OK,
yolo26-C2f_DySnakeConv.yaml,ultralytics\cfg\models\26\yolo26-C2f_DySnakeConv.yaml,2171,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C2f_DySnakeConv, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",C2f_DySnakeConv,OK,
yolo26-C2f_Faster.yaml,ultralytics\cfg\models\26\yolo26-C2f_Faster.yaml,2178,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C2f_Faster, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",C2f_Faster,OK,
yolo26-C3_Faster.yaml,ultralytics\cfg\models\26\yolo26-C3_Faster.yaml,2177,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3_Faster, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",C3_Faster,OK,
yolo26-CARAFE.yaml,ultralytics\cfg\models\26\yolo26-CARAFE.yaml,2155,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, CARAFE, Concat, Conv, Detect, SPPF, nn.Upsample",CARAFE,OK,
yolo26-CBAM.yaml,ultralytics\cfg\models\26\yolo26-CBAM.yaml,2197,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, CBAM, Concat, Conv, Detect, SPPF, nn.Upsample",CBAM,OK,
yolo26-ContextAggregation.yaml,ultralytics\cfg\models\26\yolo26-ContextAggregation.yaml,2211,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, ContextAggregation, Conv, Detect, SPPF, nn.Upsample",ContextAggregation,OK,
yolo26-DASI.yaml,ultralytics\cfg\models\26\yolo26-DASI.yaml,2197,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, DASI, Detect, SPPF, nn.Upsample",DASI,OK,
yolo26-DSConv.yaml,ultralytics\cfg\models\26\yolo26-DSConv.yaml,2174,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, DSConv, Detect, SPPF, nn.Upsample",DSConv,OK,
yolo26-DualConv.yaml,ultralytics\cfg\models\26\yolo26-DualConv.yaml,2172,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, DualConv, SPPF, nn.Upsample",DualConv,OK,
yolo26-DWConv.yaml,ultralytics\cfg\models\26\yolo26-DWConv.yaml,2174,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, DWConv, Detect, SPPF, nn.Upsample",DWConv,OK,
yolo26-EfficientNetv2.yaml,ultralytics\cfg\models\26\yolo26-EfficientNetv2.yaml,2409,detect,n/s/m/l/x,yes,80,?,14,15,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, FusedMBConv, MBConv, SPPF, nn.Upsample, stem","FusedMBConv, MBConv, stem",OK,
yolo26-EMA_attention.yaml,ultralytics\cfg\models\26\yolo26-EMA_attention.yaml,2205,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, EMA_attention, SPPF, nn.Upsample",EMA_attention,OK,
yolo26-GhostConv.yaml,ultralytics\cfg\models\26\yolo26-GhostConv.yaml,2177,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, GhostConv, SPPF, nn.Upsample",GhostConv,OK,
yolo26-Glod.yaml,ultralytics\cfg\models\26\yolo26-Glod.yaml,2540,detect,n/s/m/l/x,yes,80,?,10,19,Detect,3,no,yes,no,"AdvPoolFusion, C3k2, Conv, Detect, IFM, InjectionMultiSum_Auto_pool, PyramidPoolAgg, SPPF, SimFusion_3in, SimFusion_4in, TopBasicLayer","AdvPoolFusion, IFM, InjectionMultiSum_Auto_pool, PyramidPoolAgg, SimFusion_3in, SimFusion_4in, TopBasicLayer",OK,
yolo26-GSConv.yaml,ultralytics\cfg\models\26\yolo26-GSConv.yaml,2174,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, GSConv, SPPF, nn.Upsample",GSConv,OK,
"yolo26-HorBlock,.yaml","ultralytics\cfg\models\26\yolo26-HorBlock,.yaml",2209,detect,n/s/m/l/x,yes,80,?,12,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, HorBlock, SPPF, nn.Upsample",HorBlock,OK,
yolo26-Involution.yaml,ultralytics\cfg\models\26\yolo26-Involution.yaml,2177,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, Involution, SPPF, nn.Upsample",Involution,OK,
yolo26-MDCR.yaml,ultralytics\cfg\models\26\yolo26-MDCR.yaml,2199,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, MDCR, SPPF, nn.Upsample",MDCR,OK,
yolo26-Moblileone.yaml,ultralytics\cfg\models\26\yolo26-Moblileone.yaml,2217,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, MobileOneBlock, SPPF, nn.Upsample",MobileOneBlock,OK,
yolo26-MSFN.yaml,ultralytics\cfg\models\26\yolo26-MSFN.yaml,2199,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, MSFN, SPPF, nn.Upsample",MSFN,OK,
yolo26-OREPA.yaml,ultralytics\cfg\models\26\yolo26-OREPA.yaml,2169,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, OREPA, SPPF, nn.Upsample",OREPA,OK,
yolo26-PatchExpand.yaml,ultralytics\cfg\models\26\yolo26-PatchExpand.yaml,2155,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, PatchExpand, SPPF, nn.Upsample",PatchExpand,OK,
yolo26-RepConv.yaml,ultralytics\cfg\models\26\yolo26-RepConv.yaml,2175,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, RepConv, SPPF, nn.Upsample",RepConv,OK,
yolo26-RepLKNet.yaml,ultralytics\cfg\models\26\yolo26-RepLKNet.yaml,2103,detect,n/s/m/l/x,yes,80,?,5,15,Detect,3,no,yes,no,"C3k2, Concat, Conv, Detect, RepLKNet_Stem, RepLKNet_stage1, RepLKNet_stage2, RepLKNet_stage3, RepLKNet_stage4, nn.Upsample","RepLKNet_Stem, RepLKNet_stage1, RepLKNet_stage2, RepLKNet_stage3, RepLKNet_stage4",OK,
yolo26-RepViT.yaml,ultralytics\cfg\models\26\yolo26-RepViT.yaml,2215,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, RFAConv, RepViTblock, SPPF, nn.Upsample","RFAConv, RepViTblock",OK,
yolo26-RFAConv.yaml,ultralytics\cfg\models\26\yolo26-RFAConv.yaml,2175,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, RFAConv, SPPF, nn.Upsample",RFAConv,OK,
yolo26-SEAttention.yaml,ultralytics\cfg\models\26\yolo26-SEAttention.yaml,2206,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SEAttention, SPPF, nn.Upsample",SEAttention,OK,
yolo26-ShuffleNetV2.yaml,ultralytics\cfg\models\26\yolo26-ShuffleNetV2.yaml,2109,detect,n/s/m/l/x,yes,80,?,9,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Conv_maxpool, Detect, SPPF, ShuffleNetV2, nn.Upsample","Conv_maxpool, ShuffleNetV2",OK,
yolo26-SimA.yaml,ultralytics\cfg\models\26\yolo26-SimA.yaml,2197,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, SimAM, nn.Upsample",SimAM,OK,
yolo26-slimneck.yaml,ultralytics\cfg\models\26\yolo26-slimneck.yaml,2176,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, VoVGSCSP, nn.Upsample",VoVGSCSP,OK,
yolo26-SPDConv.yaml,ultralytics\cfg\models\26\yolo26-SPDConv.yaml,2217,detect,n/s/m/l/x,yes,80,?,12,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample, space_to_depth",space_to_depth,OK,
yolo26-StokenAttention.yaml,ultralytics\cfg\models\26\yolo26-StokenAttention.yaml,2206,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, StokenAttention, nn.Upsample",StokenAttention,OK,
yolo26-SwinTransformer.yaml,ultralytics\cfg\models\26\yolo26-SwinTransformer.yaml,2210,detect,n/s/m/l/x,yes,80,?,11,14,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, SwinTransformer, nn.Upsample",SwinTransformer,OK,
yolo26-v10D.yaml,ultralytics\cfg\models\26\yolo26-v10D.yaml,2175,?,n/s/m/l/x,yes,80,?,11,13,unknown,0,no,no,no,"C2PSA, C3k2, Concat, Conv, SPPF, nn.Upsample, v10Detect",v10Detect,OK,
yolo26-vanillanet.yaml,ultralytics\cfg\models\26\yolo26-vanillanet.yaml,2037,detect,n/s/m/l/x,yes,80,?,7,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample, vanillanetBlock",vanillanetBlock,OK,
yolo26.yaml,ultralytics\cfg\models\26\yolo26.yaml,2172,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, SPPF, nn.Upsample",none,OK,
yolo26LDConv.yaml,ultralytics\cfg\models\26\yolo26LDConv.yaml,2174,detect,n/s/m/l/x,yes,80,?,11,13,Detect,3,no,yes,no,"C2PSA, C3k2, Concat, Conv, Detect, LDConv, SPPF, nn.Upsample",LDConv,OK,
