yaml,params,transfer_numel_ratio,backbone,neck,detect,ffa_instances
yolo26n-Paper1-TierA01-P2-SPDConv-EMA-P3f8.yaml,2642593,0.9593940497079951,0.9877233470533654,0.954545986532223,0.865618570534037,0
yolo26n-Paper1-TierA02-P2-LaplacianConv-EMA-P3f8.yaml,2663074,0.9659063172859635,0.9999992676530404,0.954545986532223,0.865618570534037,0
yolo26n-Paper1-TierA03-P2-EMA-P3f8-BiFPN.yaml,2663085,0.965902327563709,1.0,0.9545337993477926,0.865618570534037,0
yolo26n-Paper1-TierA04-SPDConv-EMA-P3f8-FFAFusion.yaml,2562745,0.9892860975243343,0.9877233470533654,0.987947322808026,1.0,1
yolo26n-Paper1-TierA05-LaplacianConv-EMA-P3f8-BiFPN.yaml,2572962,0.9997349358443692,0.9999992676530404,0.9992415070508658,1.0,0
yolo26n-Paper1-TierA06-P2-SEAttention-P3-FFAFusion.yaml,2673185,0.9622528930844667,1.0,0.9443854376648052,0.865618570534037,1
yolo26n-Paper1-TierA07-P2-CBAM-P3-BiFPN.yaml,2663023,0.9659248155198059,1.0,0.9545967698172954,0.865618570534037,0
yolo26n-Paper1-TierA08-P2-EMA-P3f8-slimneck.yaml,2467105,0.8549194298580726,1.0,0.5834723519804276,0.865618570534037,0
yolo26n-Paper1-TierA09-SPDConv-EMA-P3f8-slimneck.yaml,2356505,0.879346320079949,0.9877233470533654,0.6184279703700326,1.0,0
yolo26n-Paper1-TierA10-FDConv-EMA-P3f8-FFAFusion.yaml,2583226,0.9957626626551451,0.9999992676530404,0.987947322808026,1.0,1
yolo26n-Paper1-TierA11-P2-LaplacianConv-CARAFE.yaml,2693318,0.9550598926677057,0.9999992676530404,0.924787422548002,0.865618570534037,0
yolo26n-Paper1-TierA12-FDConv-GSConv-CARAFE.yaml,2601294,0.9870502911243404,0.9979692996834043,0.9666867441968215,1.0,0
